"SYMBOL","STRING_id"
"15E1.2","9606.ENSP00000229390"
"2'-PDE","9606.ENSP00000309142"
"76P","9606.ENSP00000456648"
"7A5","9606.ENSP00000328410"
"A1BG","9606.ENSP00000308208"
"A2BP1","9606.ENSP00000309117"
"A2M","9606.ENSP00000323929"
"A2ML1","9606.ENSP00000299698"
"A4GALT","9606.ENSP00000249005"
"AAAS","9606.ENSP00000209873"
"AACS","9606.ENSP00000324842"
"AADAC","9606.ENSP00000360997"
"AADACL1","9606.ENSP00000442464"
"AADACL2","9606.ENSP00000348911"
"AADAT","9606.ENSP00000226840"
"AAK1","9606.ENSP00000386456"
"AAMP","9606.ENSP00000329312"
"AANAT","9606.ENSP00000250615"
"AARS","9606.ENSP00000261772"
"AARSD1","9606.ENSP00000402835"
"AARSL","9606.ENSP00000244571"
"AASDH","9606.ENSP00000205214"
"AASDHPPT","9606.ENSP00000278618"
"AASS","9606.ENSP00000377040"
"AATF","9606.ENSP00000225402"
"AATK","9606.ENSP00000324196"
"ABAT","9606.ENSP00000268251"
"ABCA1","9606.ENSP00000363868"
"ABCA12","9606.ENSP00000272895"
"ABCA2","9606.ENSP00000344155"
"ABCA3","9606.ENSP00000301732"
"ABCA4","9606.ENSP00000359245"
"ABCA5","9606.ENSP00000376443"
"ABCA7","9606.ENSP00000263094"
"ABCA8","9606.ENSP00000269080"
"ABCB1","9606.ENSP00000265724"
"ABCB10","9606.ENSP00000355637"
"ABCB11","9606.ENSP00000263817"
"ABCB4","9606.ENSP00000265723"
"ABCB5","9606.ENSP00000384881"
"ABCB6","9606.ENSP00000265316"
"ABCB7","9606.ENSP00000253577"
"ABCB8","9606.ENSP00000351717"
"ABCB9","9606.ENSP00000280560"
"ABCC1","9606.ENSP00000382342"
"ABCC11","9606.ENSP00000349017"
"ABCC12","9606.ENSP00000311030"
"ABCC2","9606.ENSP00000359478"
"ABCC3","9606.ENSP00000285238"
"ABCC4","9606.ENSP00000366084"
"ABCC5","9606.ENSP00000333926"
"ABCC6","9606.ENSP00000205557"
"ABCC8","9606.ENSP00000374467"
"ABCC9","9606.ENSP00000261200"
"ABCD1","9606.ENSP00000218104"
"ABCD2","9606.ENSP00000310688"
"ABCD3","9606.ENSP00000359233"
"ABCD4","9606.ENSP00000349396"
"ABCE1","9606.ENSP00000296577"
"ABCF1","9606.ENSP00000313603"
"ABCF2","9606.ENSP00000222388"
"ABCF3","9606.ENSP00000411471"
"ABCG1","9606.ENSP00000354995"
"ABCG2","9606.ENSP00000237612"
"ABCG4","9606.ENSP00000304111"
"ABCG5","9606.ENSP00000260645"
"ABCG8","9606.ENSP00000272286"
"ABHD1","9606.ENSP00000326491"
"ABHD11","9606.ENSP00000222800"
"ABHD14A","9606.ENSP00000273596"
"ABHD2","9606.ENSP00000268129"
"ABHD3","9606.ENSP00000289119"
"ABHD4","9606.ENSP00000414558"
"ABHD5","9606.ENSP00000390849"
"ABHD6","9606.ENSP00000295962"
"ABI1","9606.ENSP00000365312"
"ABI2","9606.ENSP00000261017"
"ABI3","9606.ENSP00000225941"
"ABI3BP","9606.ENSP00000284322"
"ABL1","9606.ENSP00000361423"
"ABL2","9606.ENSP00000427562"
"ABLIM1","9606.ENSP00000338190"
"ABLIM2","9606.ENSP00000393511"
"ABLIM3","9606.ENSP00000310309"
"ABP1","9606.ENSP00000354193"
"ABR","9606.ENSP00000303909"
"ABRA","9606.ENSP00000311436"
"ABT1","9606.ENSP00000274849"
"ABTB1","9606.ENSP00000232744"
"ABTB2","9606.ENSP00000410157"
"ACAA1","9606.ENSP00000333664"
"ACAA2","9606.ENSP00000285093"
"ACACA","9606.ENSP00000344789"
"ACACB","9606.ENSP00000341044"
"ACAD10","9606.ENSP00000389813"
"ACAD11","9606.ENSP00000264990"
"ACAD8","9606.ENSP00000281182"
"ACAD9","9606.ENSP00000312618"
"ACADL","9606.ENSP00000233710"
"ACADM","9606.ENSP00000409612"
"ACADS","9606.ENSP00000242592"
"ACADSB","9606.ENSP00000357873"
"ACADVL","9606.ENSP00000349297"
"ACAT1","9606.ENSP00000265838"
"ACAT2","9606.ENSP00000356015"
"ACBD3","9606.ENSP00000355777"
"ACBD5","9606.ENSP00000379568"
"ACBD6","9606.ENSP00000356567"
"ACCN1","9606.ENSP00000225823"
"ACCN2","9606.ENSP00000228468"
"ACCN3","9606.ENSP00000297512"
"ACCN4","9606.ENSP00000326627"
"ACD","9606.ENSP00000377496"
"ACE","9606.ENSP00000290866"
"ACE2","9606.ENSP00000252519"
"ACF","9606.ENSP00000282641"
"ACHE","9606.ENSP00000303211"
"ACIN1","9606.ENSP00000262710"
"ACLY","9606.ENSP00000253792"
"ACMSD","9606.ENSP00000348459"
"ACO1","9606.ENSP00000309477"
"ACO2","9606.ENSP00000216254"
"ACOT11","9606.ENSP00000360366"
"ACOT12","9606.ENSP00000303246"
"ACOT2","9606.ENSP00000238651"
"ACOT4","9606.ENSP00000323071"
"ACOT7","9606.ENSP00000367086"
"ACOT8","9606.ENSP00000217455"
"ACOT9","9606.ENSP00000368605"
"ACOX1","9606.ENSP00000293217"
"ACOX2","9606.ENSP00000307697"
"ACOX3","9606.ENSP00000348775"
"ACOXL","9606.ENSP00000407761"
"ACP1","9606.ENSP00000272065"
"ACP2","9606.ENSP00000256997"
"ACP5","9606.ENSP00000218758"
"ACPP","9606.ENSP00000323036"
"ACPT","9606.ENSP00000270593"
"ACR","9606.ENSP00000216139"
"ACRBP","9606.ENSP00000229243"
"ACRV1","9606.ENSP00000432816"
"ACSBG1","9606.ENSP00000351605"
"ACSBG2","9606.ENSP00000252669"
"ACSL1","9606.ENSP00000281455"
"ACSL3","9606.ENSP00000350012"
"ACSL4","9606.ENSP00000339787"
"ACSL5","9606.ENSP00000348429"
"ACSL6","9606.ENSP00000296869"
"ACSM1","9606.ENSP00000301956"
"ACSM2","9606.ENSP00000219054"
"ACSM3","9606.ENSP00000289416"
"ACSS1","9606.ENSP00000316924"
"ACSS2","9606.ENSP00000253382"
"ACTA1","9606.ENSP00000355645"
"ACTA2","9606.ENSP00000224784"
"ACTB","9606.ENSP00000349960"
"ACTC","9606.ENSP00000290378"
"ACTG1","9606.ENSP00000331514"
"ACTG2","9606.ENSP00000295137"
"ACTL6A","9606.ENSP00000397552"
"ACTL6B","9606.ENSP00000160382"
"ACTL7A","9606.ENSP00000334300"
"ACTL7B","9606.ENSP00000363799"
"ACTL8","9606.ENSP00000364555"
"ACTN1","9606.ENSP00000377941"
"ACTN2","9606.ENSP00000355537"
"ACTN4","9606.ENSP00000252699"
"ACTR10","9606.ENSP00000254286"
"ACTR1A","9606.ENSP00000358921"
"ACTR1B","9606.ENSP00000289228"
"ACTR2","9606.ENSP00000367220"
"ACTR3","9606.ENSP00000263238"
"ACTR3B","9606.ENSP00000256001"
"ACTR5","9606.ENSP00000243903"
"ACTR6","9606.ENSP00000188312"
"ACTR8","9606.ENSP00000336842"
"ACTRT1","9606.ENSP00000360165"
"ACTRT2","9606.ENSP00000367658"
"ACVR1","9606.ENSP00000263640"
"ACVR1B","9606.ENSP00000442656"
"ACVR1C","9606.ENSP00000243349"
"ACVR2A","9606.ENSP00000241416"
"ACVR2B","9606.ENSP00000340361"
"ACVRL1","9606.ENSP00000373574"
"ACY1","9606.ENSP00000384296"
"ACY1L2","9606.ENSP00000275072"
"ACY3","9606.ENSP00000255082"
"ACYP1","9606.ENSP00000238618"
"ACYP2","9606.ENSP00000378161"
"ADA","9606.ENSP00000361965"
"ADAL","9606.ENSP00000413074"
"ADAM10","9606.ENSP00000260408"
"ADAM12","9606.ENSP00000357668"
"ADAM15","9606.ENSP00000349436"
"ADAM17","9606.ENSP00000309968"
"ADAM19","9606.ENSP00000257527"
"ADAM2","9606.ENSP00000265708"
"ADAM20","9606.ENSP00000256389"
"ADAM21","9606.ENSP00000267499"
"ADAM22","9606.ENSP00000265727"
"ADAM23","9606.ENSP00000264377"
"ADAM28","9606.ENSP00000265769"
"ADAM29","9606.ENSP00000352177"
